https://w3id.org/okn/o/sdm#GeoShape,https://w3id.org/okn/o/sdm#box,http://www.w3.org/2000/01/rdf-schema#label
Baro_Shape," ""33.2078,7.4312 36.3155,9.4162""",Bounding box for Baro basin
Pongo_Basin_SS_Shape," ""24.14233611868619,6.682771856532459 27.741570450529053,9.345303077456506""",Bounding box for Pongo basin
Gambella_Shape," ""32.991536,6.27026 35.402297999999995,8.718837""",Bounding box for Gambella region
Muger_Shape," ""37.902916666667004,9.073750000000333 39.032916666667,9.97625000000033""",Bounding box for Muger basin
Bashilo_Shape," ""38.20374999999967,10.867083333333333 39.68291666666634,11.952916666666667""",Bounding box for Bashilo basin
Guder_Shape," ""37.27124999999967,8.691249999999666 38.16541666666633,9.872083333332998""",Bounding box for Guder basin
Jamma_Shape," ""38.44708333333367,9.188749999999667 39.82125000000033,10.955416666666332""",Bounding box for Jamma basin
Beko-Tippi_Shape," ""35.32041666666567,7.027916666666 35.95791666666566,7.473749999999332""",Bounding box for Beko-Tippi basin
Texas_Shape,"""-106.65038428499993,25.829765046000137 -93.51181051299993,36.51056885500015""",Bounding box for Texas region
Awash_Shape,"""37.97867393188249,6.803678749990985 39.7438246819145,9.314583332438477""",Bounding box for the Awash region
Ganale_Shape,"""39.38034620913843,5.629512229025655 40.993819420185524,6.951321109995221""",Bounding box for the Ganale basin
Shebelle_Shape,"""38.68201146140237,6.36367971332346 43.34548744123218,9.527153158178406""",Bounding box for the Shebelle basin
SouthSudan_Shape,"""24.121374145000107,3.538957621000113 35.814150025000096,12.226154684000159""",Bounding box for South Sudan
Ethiopia_Shape,"""32.94418,3.4120600000000003 47.79942,14.96943""",Bounding box for Ethiopia
Tekeze_Shape,"""37.5413,11.6546 39.7112,13.6246""",Bounding box for Tekeze basin
